DATE,OPEN,HIGH,LOW,CLOSE,NO. OF SHARES,NO. OF TRADES
3/6/2019,11500,11704,11487,11691.55,3793,1015
31-05-2019,11320,11525.5,11320,11486.65,3361,878
30-05-2019,11176.05,11341.45,11176,11291.1,1981,599
29-05-2019,11050,11265,11001,11179.55,2802,793
28-05-2019,11036,11170,10953.05,11147.5,3593,731
27-05-2019,10701,11055,10701,11007.85,9439,563
24-05-2019,10948.95,10948.95,10611.25,10692.35,1901,686
23-05-2019,10821.2,10989,10688,10764.4,9884,1183
22-05-2019,10626.45,10780,10611.15,10689.9,2177,592
21-05-2019,10989.95,10989.95,10532.05,10595.7,2492,841
20-05-2019,10601,10888,10582.75,10781.2,3696,896
17-05-2019,10309.95,10522.85,10270,10452.6,2524,765
16-05-2019,10333,10391.25,10257,10284.05,1322,465
15-05-2019,10386.15,10501.95,10225.1,10281.4,20756,1417
14-05-2019,10316.9,10316.9,10126.45,10214.7,2479,646
13-05-2019,10199,10432.05,10199,10316.55,12168,630
10/5/2019,10410,10435.6,10152.55,10237.85,2328,681
9/5/2019,10320,10409.7,10222,10357.4,1707,487
8/5/2019,10472,10560,10284.2,10305.55,21490,413
7/5/2019,10498,10596.75,10400,10471.85,993,300
6/5/2019,10401,10486.25,10323,10388.8,1588,595
3/5/2019,10601,10636.1,10389,10501.9,1839,588
2/5/2019,10900,10900,10550,10604.05,11652,524
30-04-2019,10879.2,10955,10850.1,10903.2,1337,339
26-04-2019,10852.7,11044,10850,10970.05,1478,537
25-04-2019,10820,10980,10820,10880.15,997,351
24-04-2019,10900.05,11020,10726.95,10832.35,1768,624
23-04-2019,10899.95,10971.1,10851,10922.8,1007,308
22-04-2019,10950.3,10960.6,10875.85,10909.85,602,242
18-04-2019,11203.95,11229.1,10852.65,10952.7,1146,376
16-04-2019,11011,11199.4,11011,11131.25,1555,522
15-04-2019,10975,11091.35,10899.15,10964.75,1241,411
12/4/2019,10779,10988.9,10779,10940.95,1183,348
11/4/2019,10793.6,10882.3,10705.1,10761.55,1186,487
10/4/2019,10800.75,10842.2,10730.15,10808.4,1667,465
9/4/2019,10881,10881,10735,10788.05,1305,467
8/4/2019,11010,11021,10840.2,10880.05,1695,528
5/4/2019,10970,11084.35,10912.2,11001.2,975,352
4/4/2019,11005.05,11035.6,10870.2,10972.8,613,317
3/4/2019,10850,11050.8,10805,11004.35,2217,639
2/4/2019,10940,10940,10700.05,10766.8,1348,454
1/4/2019,11000,11106.75,10830.45,10895.6,2201,544
29-03-2019,11040,11225,10800,10994.25,3806,1158
28-03-2019,10900,11100,10813.25,11027.9,5491,836
27-03-2019,10706.7,11080,10598.95,10853,7445,2025
26-03-2019,10550,10769,10533,10694.65,3608,830
25-03-2019,10599.95,10599.95,10303.15,10521.05,2542,706
22-03-2019,10518.95,10644.55,10518.9,10598.05,1072,391
20-03-2019,10700,10759.95,10498.65,10534.95,2089,697
19-03-2019,10465,10719.95,10420.7,10677,2394,691
18-03-2019,10363.8,10484,10280,10465,2428,645
15-03-2019,10746,10746,10241,10329,4276,1221
14-03-2019,10749,10754,10545.35,10742.25,1617,548
13-03-2019,10530,10730,10500,10692.45,6125,1409
12/3/2019,10299.9,10500,10271,10435.85,6428,1087
11/3/2019,10143.3,10340,10042,10287.25,4384,1326
8/3/2019,10196.85,10197.15,10028.1,10105.7,12989,1229
7/3/2019,10330.9,10357.1,10161,10196.85,4098,1021
6/3/2019,10555,10560,10219.7,10354.85,4100,1032
5/3/2019,10400,10550,10300,10507.95,9481,962
1/3/2019,10650,10650,10331.05,10435.7,9687,1311
28-02-2019,10746.35,10762.1,10557.5,10627,2829,830
27-02-2019,10799,10799.7,10650,10700.05,1973,502
26-02-2019,10790,10852.1,10662.3,10787.75,2596,701
25-02-2019,10743.1,10850,10700.9,10824,2507,490
22-02-2019,10534.7,10709.95,10534.7,10687.3,2069,580
21-02-2019,10500,10657.55,10431,10597.2,19960,1041
20-02-2019,10520.1,10615,10410,10530.8,1864,536
19-02-2019,10548.95,10719.95,10356.45,10520.1,3613,1002
18-02-2019,10590,10590,10186.55,10344.4,4599,1207
15-02-2019,10450,10730.1,10255,10582.1,12948,3165
14-02-2019,10600,10791.2,10405.4,10611.55,6562,1632
13-02-2019,10965,10965,10485.15,10572.9,7196,1551
12/2/2019,10780,10851.75,10616.65,10798.65,4110,1059
11/2/2019,11278,11300,10792,10820.25,8158,1942
8/2/2019,11713.1,11747.05,11160.05,11278.2,6445,1672
7/2/2019,11666,11777,11539.7,11714.45,1672,428
6/2/2019,11666,11672,11469.95,11598.35,3621,794
5/2/2019,11540,11660,11446.1,11596.2,3157,915
4/2/2019,11599,11670,11502.9,11585.55,2118,515
1/2/2019,11499,11632.55,11447.7,11568.25,2546,554
31-01-2019,11115.25,11559.9,11115.25,11469.8,5711,684
30-01-2019,11394.9,11444.7,11290,11394.15,1064,340
29-01-2019,11383,11450,11308.2,11407.1,1749,502
28-01-2019,11343,11400,11175.7,11325.45,2528,778
25-01-2019,11470,11506.9,11294,11343.8,1314,426
24-01-2019,11340,11470.05,11340,11430.55,2263,787
23-01-2019,11152,11343.95,11152,11310.55,1461,381
22-01-2019,11275,11449.65,11200,11215.6,5153,1366
21-01-2019,11322,11322,11164.25,11231.95,1762,564
18-01-2019,11200,11312.1,11167.25,11241.05,2929,513
17-01-2019,11190,11229.95,11124,11169.9,1465,426
16-01-2019,11253.8,11265.45,10996.35,11048.85,4351,926
15-01-2019,11252.45,11332.45,11201.85,11286.85,1254,434
14-01-2019,11389.95,11389.95,11191.95,11224.65,7030,869
11/1/2019,11400.05,11446.65,11175.6,11265.05,1654,647
10/1/2019,11260,11467.8,11157.55,11416.85,8937,1215
9/1/2019,11107.35,11276.85,11086.8,11252.2,4675,789
8/1/2019,10853.65,11232.9,10701.05,11016.8,13964,1330
7/1/2019,10870,10940.25,10719.25,10779.45,5916,1167
4/1/2019,11200,11200,10666.9,10878.3,14436,2353
3/1/2019,11133.45,11499,11050,11191.1,28106,3172
2/1/2019,11001.6,11145,10941.15,11041.05,1702,525
1/1/2019,11112,11226.85,10991.05,11061.9,6029,349
31-12-2018,11350,11362.05,11043,11107.25,13836,614
