DATE,OPEN,HIGH,LOW,CLOSE,NO. OF SHARES,NO. OF TRADES
13-12-2019,539.1,544.2,537,543.35,43356,1227
12/12/2019,546,547.2,535,536.3,56399,2170
11/12/2019,544.3,549.9,539.9,543.85,39421,1324
10/12/2019,558.8,558.8,542,544.3,41964,1466
9/12/2019,561,563.05,547.25,551.65,72479,1711
6/12/2019,562,566.2,558.45,560.2,44069,1297
4/12/2019,568,568,558.5,562.9,39455,1616
3/12/2019,566,566,560.5,562.3,42711,1312
2/12/2019,567.5,567.5,561.9,563.05,167037,1506
29-11-2019,571,571,562.5,563.8,204201,1283
28-11-2019,570,571.5,562.95,566.33,45620,1913
27-11-2019,556.23,567.3,555,564.45,32428,1609
26-11-2019,562.5,567,549.3,555.1,107112,2572
25-11-2019,558.35,563.05,553.3,562.35,10904,778
22-11-2019,569,569,554.73,557.88,340847,1929
21-11-2019,565.78,574.1,565.78,568.2,33094,1131
20-11-2019,565.53,568.6,562.88,566.33,16312,1153
19-11-2019,569.5,571.5,564.7,567.35,10577,694
18-11-2019,572.5,574.98,569.5,570.65,10889,585
15-11-2019,574,579.5,570,571.85,50089,1396
14-11-2019,570.3,578.75,567.53,574.28,21201,1197
13-11-2019,575,580,567.25,571.55,52869,1524
11/11/2019,575.05,575.68,565.13,573.05,92240,1693
8/11/2019,574.63,581.88,573,575.05,180409,3060
7/11/2019,575,576.75,568.03,574.3,57062,1987
6/11/2019,579,579.13,570.78,574.05,304061,4666
5/11/2019,577.6,580.3,571.73,579.13,106203,2076
4/11/2019,575.65,583.13,575.65,577.6,42082,1692
1/11/2019,579.5,583.48,571.73,575.45,33202,2020
31-10-2019,574.95,584.75,569.1,581.68,51662,2434
30-10-2019,574.5,574.9,569.05,573.08,27413,1338
29-10-2019,567.5,572.5,564.15,569.95,84540,1735
27-10-2019,572,572,562.83,565.28,11652,727
25-10-2019,563.5,568.5,549.5,566.98,48463,2430
24-10-2019,580,580,555.95,559.28,203864,8114
23-10-2019,539,552.03,535.95,547.83,85796,3086
22-10-2019,547.53,547.53,525.88,532.23,310738,4880
18-10-2019,551.5,552.83,544.13,547.95,22427,839
17-10-2019,550.5,550.5,542.28,546.45,13656,577
16-10-2019,540.5,553.5,540.5,550.43,16838,738
15-10-2019,544.3,549.5,540.53,542.05,30851,887
14-10-2019,540.08,549.9,537.33,543.53,22338,838
11/10/2019,528.9,544.93,521.25,540.08,83511,2131
10/10/2019,526,532.85,521,531.83,32725,1052
9/10/2019,537.1,537.1,520.33,525.45,25333,1179
7/10/2019,544.8,545.15,534.6,537.08,110969,5374
4/10/2019,540,540.45,532.63,539.23,15108,1155
3/10/2019,529.5,544.9,526.88,538.75,206629,3266
1/10/2019,542.3,542.3,526.5,529.93,87081,1956
30-09-2019,516.88,548.38,516.88,540.25,109319,4083
27-09-2019,522.5,526.63,516.88,520.65,61733,2412
26-09-2019,527.25,527.25,516.68,522.43,36077,1420
25-09-2019,527.38,530.93,522.38,526.98,27262,1265
24-09-2019,520.5,525.9,511.53,523.68,41348,2069
23-09-2019,534,534,508.58,516.2,86285,3271
20-09-2019,524.58,531.5,518.98,524.85,71364,2217
19-09-2019,539,539,516.43,524.58,44109,2083
18-09-2019,534.3,534.3,525.38,528.93,23974,1146
17-09-2019,533.5,533.5,523.23,528.15,136408,3110
16-09-2019,543,543,528.33,534.93,46819,2239
13-09-2019,531.45,535.28,527.2,534.6,447728,7830
12/9/2019,529.55,532.23,524.1,527.38,695737,1801
11/9/2019,548,548,526.28,528.63,425323,5959
9/9/2019,550,550,540.5,542.08,53575,1483
6/9/2019,556,560.05,548.7,550.75,65107,1432
5/9/2019,559.35,561.6,551.9,555.55,19970,1547
4/9/2019,557.8,564.2,552,562.63,25171,930
3/9/2019,551.5,565.3,551.43,554.28,50980,2600
30-08-2019,562.5,562.5,541.68,550.13,47354,1664
29-08-2019,560,562.5,555,558.53,37492,1276
28-08-2019,548.28,564.13,546.15,561.7,66034,2544
27-08-2019,549.5,549.95,532.23,546.65,39970,1793
26-08-2019,545,548.03,532.88,546.33,28908,1956
23-08-2019,543.95,548,539.38,543.33,26016,1053
22-08-2019,535.35,543.05,528.43,539.23,38162,1913
21-08-2019,547,547.5,533.58,535.88,339572,1549
20-08-2019,533.95,545.45,533,541.93,39813,1669
19-08-2019,532.85,538.7,529.5,532,13825,641
16-08-2019,537.8,537.88,525.55,530.83,15238,581
14-08-2019,535.3,541.45,528.78,538.23,19772,1162
13-08-2019,543.75,544.7,533.65,536.25,32078,1078
9/8/2019,537.5,551,537.5,543.53,71480,1904
8/8/2019,514.5,547.5,513.93,544,130642,5073
7/8/2019,510.85,522.78,508.5,511.15,80390,1788
6/8/2019,501.5,518.23,501.5,512.18,41414,1442
5/8/2019,507.5,508.8,498.6,505.7,29582,1402
2/8/2019,506,507.65,497,505.65,41232,1296
1/8/2019,518.5,521,507.65,511.25,22444,740
31-07-2019,500.5,518.65,500.5,517.28,25524,1054
30-07-2019,508,513,505.95,511.93,56905,1063
29-07-2019,503.93,511.73,502.48,507.73,34897,1911
26-07-2019,501.03,506.03,499.28,500.73,24021,940
25-07-2019,511,513.4,501.65,505.95,35574,1271
24-07-2019,505.5,512.18,500.85,510.58,19332,739
23-07-2019,511.53,513.05,504,505.83,48343,909
22-07-2019,508.1,513.5,501.55,509.4,26450,910
19-07-2019,515,515.2,505,508.03,18708,844
18-07-2019,520.5,520.5,507.83,509.15,25668,811
17-07-2019,510.03,521.63,510.03,520.33,28041,998
16-07-2019,510,515.78,506.75,510,65015,1166
15-07-2019,516,518.6,510,513.65,20376,1420
12/7/2019,511.33,514.6,504.55,511.75,24495,851
11/7/2019,516.3,516.3,507.63,510.6,22076,966
10/7/2019,510,517.23,506.7,509.45,31923,1305
9/7/2019,518.18,523.95,504.3,510.35,45872,1775
8/7/2019,508.5,523,506.08,519.25,123657,1807
5/7/2019,522.5,524.38,506.73,508.3,26587,1683
4/7/2019,528.48,528.48,517.03,520.23,65450,2298
3/7/2019,534.9,534.9,524.18,526.28,17165,1377
2/7/2019,524.65,532.45,521.95,530.13,22952,927
1/7/2019,536.98,536.98,523.4,524.65,35209,1221
28-06-2019,535.95,537.9,529.45,532.25,34866,1548
27-06-2019,539,541.7,530.03,532,31836,1147
26-06-2019,535,546.2,535,540.2,35928,1043
25-06-2019,542,542,530.48,539.88,21638,882
24-06-2019,536.65,541.7,534.28,539.28,11015,492
21-06-2019,545,546.43,535.78,538.2,31727,1485
20-06-2019,539,544.88,533.3,543.83,13146,468
19-06-2019,545,547.9,539.15,542.6,13994,641
18-06-2019,536.75,547,536.75,543.85,16927,809
17-06-2019,543,544.68,535,536.98,23655,725
14-06-2019,550.03,551.18,541.9,542.7,21211,821
13-06-2019,551,552.8,546.53,550.53,21209,779
12/6/2019,554.5,555,545.8,553.28,17932,699
11/6/2019,547.33,558.38,546.68,553.73,430900,3799
10/6/2019,541.88,550.88,540.08,545.9,79096,1753
7/6/2019,543.98,543.98,536.3,539.58,178691,1530
6/6/2019,543,550.88,538,539.53,197121,2298
4/6/2019,555.5,556.78,539.68,541.28,56126,1771
3/6/2019,549,557.73,543.95,555.63,61537,2453
31-05-2019,543.68,549.5,540.45,546.75,48033,2072
30-05-2019,544,549.08,534,538.55,104007,2503
29-05-2019,536,547.35,535,542.25,60523,2046
28-05-2019,533,544.5,528,536.23,32237,1310
27-05-2019,532.45,540.4,529.43,531.98,54639,1536
24-05-2019,534.5,535,527.45,530.83,40326,1280
23-05-2019,531,536.43,525.25,533.3,43150,2027
22-05-2019,529.5,537.45,527.75,529.6,28339,1273
21-05-2019,536,537.53,526.03,528.48,61023,1227
20-05-2019,531,541.88,526.63,535.4,40036,1281
17-05-2019,537.05,538.5,529.1,530.8,26774,856
16-05-2019,534.1,540,528.38,536.98,20071,706
15-05-2019,539.9,543,531.68,533.98,28144,1144
14-05-2019,541.4,541.4,528.68,532.98,31934,1114
13-05-2019,542.75,550.4,539.33,541.4,110677,2913
10/5/2019,563.35,563.35,537.23,543.03,207276,6204
9/5/2019,562.83,572.1,555.53,566.05,129400,2755
8/5/2019,563.38,569.93,561.78,566.1,44333,1155
7/5/2019,568.03,574.5,557.75,563.38,107003,1768
6/5/2019,566.53,572,564.38,568.03,32276,1160
3/5/2019,575.45,575.45,562.75,571.83,82510,1700
2/5/2019,586.25,589.9,577.88,579.95,32875,1017
30-04-2019,569,595,569,591.68,511920,6884
26-04-2019,566.5,584,566.5,568.9,69637,4323
25-04-2019,570.5,575.88,563.7,565.58,60020,2058
24-04-2019,550.5,572.73,549.98,570.25,92997,2805
23-04-2019,551.38,555.5,548.6,551.5,27416,897
22-04-2019,554.5,556.63,547.58,550.18,58754,1476
18-04-2019,554.65,561.3,545.5,550.18,103577,1437
16-04-2019,552.98,558.2,550.25,553.35,65889,1567
15-04-2019,541.6,554,541.6,551.88,419437,2480
12/4/2019,541.5,550.25,538.5,541.5,24805,781
11/4/2019,549.5,550.33,542.6,544.5,15749,561
10/4/2019,558.5,562,547.5,549.03,49017,1519
9/4/2019,549.35,564.25,548.5,559.28,132136,3358
8/4/2019,542,551.25,541,549.4,23461,743
5/4/2019,545.5,552.5,543.5,546.6,33582,1036
4/4/2019,558.55,559,541,548.83,90531,2989
3/4/2019,554.75,565.75,546.45,558.55,132031,1946
2/4/2019,555,559.98,545.9,550.4,70005,1862
1/4/2019,546.5,558.73,541.5,554.68,90720,2413
29-03-2019,545,549.5,534.5,544,61463,1853
28-03-2019,522.48,545,522.48,541.13,125055,3736
27-03-2019,517,527.3,513.9,521.1,54022,1463
26-03-2019,508.5,520.5,505.88,516.9,33237,1325
25-03-2019,514.5,517.48,505.98,508.1,58547,1200
22-03-2019,518.5,524.15,509.03,513.43,81792,1950
20-03-2019,520.1,526.75,516.13,519.63,72226,2107
19-03-2019,511,520,506.8,517.3,36567,1553
18-03-2019,514.5,518.98,504.38,506.28,35055,1161
15-03-2019,508.5,517.25,504.93,514.05,101735,1894
14-03-2019,516.75,520.25,502.33,503.28,60077,2465
13-03-2019,508.8,521,507.1,514.1,173812,1907
12/3/2019,502.55,509.38,502.5,506.25,55311,1331
11/3/2019,504.48,510.35,500.73,502.35,64685,1687
8/3/2019,522.5,522.5,502.5,504.23,63190,2105
7/3/2019,526.5,526.5,516,517.3,36379,1087
6/3/2019,530.03,531.75,519.15,521.8,38586,2575
