DATE,OPEN,HIGH,LOW,CLOSE,NO. OF SHARES,NO. OF TRADES
26-09-2019,1756.05,1778.75,1752,1770.7,41655,2477
25-09-2019,1781,1781,1728.2,1752.4,37830,2252
24-09-2019,1802.1,1802.1,1752,1766.95,52867,3038
23-09-2019,1690,1819.55,1690,1804.25,235460,10447
20-09-2019,1554.4,1724,1541.95,1672.35,188884,8303
19-09-2019,1550,1563.3,1545.15,1554.35,50857,3565
18-09-2019,1542,1560.85,1536.3,1548.1,36898,2082
17-09-2019,1525,1542.95,1519.25,1531.05,35837,1975
16-09-2019,1515,1525.95,1501.25,1520.55,38289,2782
13-09-2019,1537,1552.35,1528.3,1547.95,25561,2178
11-09-2019,1544.1,1564.5,1543.6,1561.3,29999,1866
09-09-2019,1531,1543.95,1524.9,1540.8,53314,1949
06-09-2019,1518.5,1540,1518.5,1532.65,29013,1353
05-09-2019,1537.6,1545.8,1516,1520.15,37331,1927
04-09-2019,1588,1588,1527.9,1534.9,40724,2069
03-09-2019,1608,1609,1574.35,1576.5,29175,1657
30-08-2019,1615,1621.95,1595.75,1615.2,29379,1475
29-08-2019,1604,1620,1589.5,1615.4,44727,1650
28-08-2019,1600,1606.15,1590.8,1603.7,26545,1297
27-08-2019,1599.5,1606.75,1586.7,1601.15,65667,2760
26-08-2019,1595,1601.3,1577.45,1597.9,25374,1334
23-08-2019,1565,1583.1,1556,1579.75,51085,1411
22-08-2019,1590,1593.9,1567,1570.35,30208,1675
21-08-2019,1590,1595,1580,1589.45,24031,1190
20-08-2019,1584,1599.05,1583.3,1595.05,27969,1962
19-08-2019,1601.75,1609.4,1582.25,1586.55,49771,2001
16-08-2019,1568,1600,1561,1597,45123,2294
14-08-2019,1572.85,1575.95,1553.75,1569.15,36164,1519
13-08-2019,1575,1593.5,1567.6,1572.75,89989,2595
09-08-2019,1568,1581.55,1561.4,1575.2,78081,2552
08-08-2019,1560.2,1570.05,1540.65,1566.3,64135,2236
07-08-2019,1568.8,1575,1552,1559,56502,3016
06-08-2019,1520,1570,1520,1566.3,71421,3677
05-08-2019,1540,1550,1522.2,1524.6,66699,3394
01-08-2019,1520.8,1531.2,1494.3,1504.45,42567,2416
31-07-2019,1508,1524.75,1496.1,1521.25,77090,2318
30-07-2019,1513.1,1526.6,1503.3,1508.1,53684,3213
29-07-2019,1524.6,1538.35,1507,1513.1,61677,3156
26-07-2019,1495,1530,1486.1,1524.6,83678,4480
25-07-2019,1483,1502.65,1459.1,1495.5,123850,6921
24-07-2019,1430,1493.4,1396,1483.6,319104,15108
23-07-2019,1410,1443.75,1402,1428.35,105936,7396
22-07-2019,1385,1409.7,1359.4,1403.35,73035,3151
19-07-2019,1389.95,1398.85,1365,1368,31043,2517
18-07-2019,1400,1400,1377.2,1383.7,16427,1082
17-07-2019,1375.05,1404,1375.05,1394.85,69993,2935
16-07-2019,1354.95,1375,1346,1371.9,52584,2423
15-07-2019,1370,1370,1348.2,1353.8,39418,2686
12-07-2019,1331,1367.7,1326.2,1360.4,29548,1469
11-07-2019,1323,1336.45,1311.05,1332.7,30459,1564
10-07-2019,1336.8,1338.45,1312.6,1322.85,27384,1691
09-07-2019,1342.05,1342.05,1291.45,1320.45,67661,3416
08-07-2019,1358.6,1361.35,1333.1,1339.75,27813,1541
05-07-2019,1360.6,1373,1353.95,1358.4,29612,1490
04-07-2019,1364.8,1366.65,1352,1359.8,118395,1866
03-07-2019,1353.6,1370.55,1350.25,1352.35,53137,2299
02-07-2019,1357.65,1359.5,1341.75,1345.95,28790,1543
01-07-2019,1365,1371.75,1352,1354.15,28973,1615
28-06-2019,1365,1370.9,1350,1357.65,28107,1383
27-06-2019,1366.9,1369.5,1357.95,1361.9,468469,2040
26-06-2019,1361.5,1370.1,1352.2,1359.9,27299,1217
25-06-2019,1374.9,1374.9,1360.15,1363.2,38871,1793
24-06-2019,1383.15,1396.7,1368.7,1376.45,25456,1156
21-06-2019,1384,1394,1372.65,1382.95,34757,1287
20-06-2019,1370,1404.15,1360.85,1390.1,48619,1512
19-06-2019,1390.8,1396.8,1371.9,1381.75,33140,1487
18-06-2019,1413.85,1413.85,1376.65,1380.4,80101,2953
17-06-2019,1415,1424.6,1397.15,1401.8,30732,1277
14-06-2019,1430,1431.7,1411,1412.65,42480,1839
13-06-2019,1438.7,1438.7,1421.1,1427.15,40965,2942
12-06-2019,1434.8,1439.8,1420.25,1425.55,34470,1797
11-06-2019,1435,1435,1411,1426.25,35944,1580
10-06-2019,1423.05,1442,1417.45,1422,163137,5428
07-06-2019,1427.5,1438.25,1413.35,1421.1,68770,1705
06-06-2019,1428,1459.55,1423.65,1427.8,170376,4345
04-06-2019,1459,1459,1417.55,1421.25,58179,2765
03-06-2019,1424.95,1464.9,1424.95,1458,237684,6587
31-05-2019,1377.2,1426,1377.2,1406.7,181554,6939
30-05-2019,1359.35,1387.5,1353.6,1373.35,111685,3047
29-05-2019,1364,1365,1347.8,1359.35,28061,1630
28-05-2019,1366.15,1387.8,1360.55,1366.3,36796,1866
27-05-2019,1393.2,1395,1362,1365.7,122444,2378
24-05-2019,1385,1399,1377.35,1385.55,59076,1885
23-05-2019,1375.2,1386.9,1359,1369.45,162040,2196
22-05-2019,1379,1379,1349,1366.75,28658,1353
21-05-2019,1383.5,1383.85,1352.2,1358.55,42514,2398
20-05-2019,1335.15,1377,1335.15,1372.75,40655,1827
17-05-2019,1306.9,1329,1301.75,1318.15,54789,2250
16-05-2019,1311.7,1314,1294.5,1307,26517,1325
15-05-2019,1327,1328.6,1303.65,1307.15,34651,1699
14-05-2019,1331.7,1333.45,1301.9,1318.85,86170,3005
13-05-2019,1340,1344.3,1324.25,1332.9,36217,1996
10-05-2019,1310.05,1355,1310.05,1340.95,321292,6160
09-05-2019,1390,1393,1347,1355.8,152591,5151
08-05-2019,1382.8,1399,1365.65,1387.6,75841,2235
07-05-2019,1431.5,1431.5,1377.15,1387.65,93883,2799
06-05-2019,1435,1447.75,1410,1414.9,45237,1733
03-05-2019,1441,1455,1433.4,1437.75,22766,869
02-05-2019,1471.9,1471.9,1433,1437.85,28203,1360
30-04-2019,1456,1476.9,1450,1463,34326,1703
26-04-2019,1448,1456.6,1436.8,1448.05,71212,1977
25-04-2019,1445,1459.7,1439.6,1448.25,18421,967
24-04-2019,1435,1458.45,1433.65,1449.15,50321,1287
23-04-2019,1450,1454.1,1427.55,1431.3,33307,1273
22-04-2019,1464,1464,1435.1,1443.25,29533,1278
18-04-2019,1462,1478.8,1460.3,1465.35,37336,1671
16-04-2019,1449.9,1464.9,1442.05,1455.85,56757,2382
15-04-2019,1446.95,1450.65,1427,1432.3,39459,1482
12-04-2019,1430,1444.8,1425.15,1437.6,95241,3135
11-04-2019,1411.45,1431.6,1409.65,1422.65,63471,3071
10-04-2019,1458,1458,1405,1412.45,109638,4389
09-04-2019,1470,1474.1,1439.7,1443.5,545787,8063
08-04-2019,1519.9,1519.9,1486.95,1496.4,24122,1245
05-04-2019,1518.95,1523.7,1504.05,1514.75,33942,1316
04-04-2019,1510,1525,1504,1518.7,51385,2483
03-04-2019,1518,1529.95,1491.25,1496.95,46421,2230
02-04-2019,1490.2,1520,1485,1515.75,55390,2446
01-04-2019,1497.55,1503.75,1487.85,1490.45,18371,823
29-03-2019,1500.7,1507.95,1485,1491.9,33708,1150
28-03-2019,1482,1505,1473.7,1494.5,48039,1616
27-03-2019,1486.55,1495,1465.9,1472.9,87561,2305
26-03-2019,1465.95,1491.25,1458,1484.45,162398,2328
25-03-2019,1466.5,1474.8,1452.3,1456.6,67266,1743
22-03-2019,1465,1479,1454.1,1470.7,87506,2144
20-03-2019,1456.2,1464.8,1449,1454.95,53333,1610
